CPF,Papel_Empresa,Salario,Idade,Tempo_Empresa,Departamento,Localizacao,Avaliacao_Desempenho,Carga_Horaria,Bonus
950.580.102-61,Product Manager,19523.63,57,10.8,Produto,São Paulo,6.9,33,1234.87
557.185.618-29,Group Product Manager,23481.62,50,2.5,Marketing,Recife,2.6,35,3356.52
545.306.427-92,Tech Lead,23250.23,60,7.8,Produto,Salvador,6.5,30,2282.23
682.606.466-82,Tech Lead,17129.63,33,6.4,TI,Rio de Janeiro,1.5,45,1582.39
438.123.535-43,Team Member,7135.6,54,11.1,Marketing,Belo Horizonte,7.0,37,905.3
150.639.427-45,Product Manager,12574.71,54,9.3,Marketing,Recife,5.1,43,1066.72
741.104.897-58,Product Manager,14163.22,29,3.7,TI,Porto Alegre,9.6,35,2339.93
632.855.245-88,Group Product Manager,21474.02,23,0.8,Marketing,Porto Alegre,4.9,48,3516.47
963.380.841-17,Tech Lead,18811.02,52,1.1,TI,Manaus,7.2,32,2683.93
907.535.872-20,Product Manager,19379.83,50,10.4,Vendas,Salvador,3.2,36,3172.62
648.751.278-54,Tech Lead,16351.04,45,9.0,Marketing,Rio de Janeiro,8.1,33,1302.0
929.637.959-28,Team Member,5868.9,37,9.2,TI,Brasília,1.1,30,797.41
852.213.292-97,Product Manager,18414.16,55,13.3,Marketing,Brasília,5.1,35,1815.89
349.807.860-77,Group Product Manager,27661.41,60,6.8,TI,Rio de Janeiro,8.0,37,4876.04
606.752.890-83,Group Product Manager,22734.04,57,7.5,Produto,Brasília,5.4,31,3800.2
603.435.370-53,Product Manager,17533.97,27,1.2,Vendas,Porto Alegre,4.4,44,933.21
403.692.837-83,Team Member,5176.75,34,12.4,Vendas,Belo Horizonte,3.9,30,536.37
526.588.741-89,Tech Lead,15619.4,25,1.1,TI,Brasília,3.4,50,1597.53
504.371.303-45,Group Product Manager,34126.32,52,2.4,TI,Fortaleza,6.6,46,3797.34
844.727.626-10,Group Product Manager,27714.61,31,14.0,Produto,Belo Horizonte,4.7,50,4692.27
595.543.966-10,Team Member,10516.1,55,5.6,Produto,Porto Alegre,8.4,37,1780.78
589.213.814-75,Tech Lead,23987.45,53,14.0,Produto,Salvador,4.7,35,3014.17
466.843.780-38,Product Manager,15451.89,42,10.1,Vendas,Manaus,4.1,38,2999.84
237.305.344-30,Team Member,11793.79,46,6.1,Marketing,Porto Alegre,5.9,32,1123.88
291.657.626-66,Team Member,6304.7,37,13.1,Vendas,São Paulo,4.5,31,673.81
412.797.362-41,Group Product Manager,21391.86,47,13.9,Marketing,Brasília,6.1,31,4098.68
412.101.723-94,Product Manager,16916.21,44,5.3,Marketing,Brasília,5.2,34,2632.33
652.753.856-19,Product Manager,12419.39,52,3.5,Marketing,Brasília,7.1,35,905.36
172.120.771-95,Tech Lead,19534.3,41,8.6,TI,Porto Alegre,9.7,31,3489.55
359.420.821-98,Team Member,11647.39,57,9.2,Vendas,Brasília,9.1,35,994.89
803.393.592-68,Tech Lead,24547.17,34,2.6,Vendas,Porto Alegre,3.1,49,2961.63
327.697.228-75,Team Member,9067.35,54,0.6,Marketing,Salvador,4.0,32,1194.99
501.480.567-20,Group Product Manager,20780.6,47,6.7,Marketing,Porto Alegre,8.9,47,3454.25
950.781.558-82,Group Product Manager,34782.79,33,13.9,Marketing,Porto Alegre,5.3,47,6398.91
394.769.388-24,Team Member,10295.58,41,1.2,Vendas,Belo Horizonte,9.6,34,887.63
792.206.808-81,Team Member,10002.65,28,10.1,Produto,Recife,7.2,34,944.13
478.137.204-81,Tech Lead,17429.72,59,9.7,Marketing,Fortaleza,3.6,33,904.45
510.893.599-52,Group Product Manager,32125.06,29,10.1,Produto,Belo Horizonte,3.0,40,2060.88
259.673.388-46,Group Product Manager,30027.42,22,2.4,TI,Brasília,5.4,48,4697.98
630.903.506-56,Group Product Manager,23034.08,42,2.6,Marketing,Belo Horizonte,6.2,46,3613.2
500.132.998-37,Group Product Manager,24714.3,32,4.4,Marketing,Porto Alegre,9.9,44,4390.31
909.431.291-35,Team Member,8709.84,32,11.9,Produto,Fortaleza,4.9,35,1622.05
237.753.819-72,Group Product Manager,24635.55,47,5.2,Vendas,Curitiba,1.1,43,4133.07
192.358.358-24,Team Member,6027.61,36,11.8,Produto,São Paulo,2.9,35,1123.35
717.873.710-73,Team Member,6037.76,45,10.4,Produto,Brasília,1.6,40,939.22
773.818.797-93,Team Member,9440.2,48,2.0,Vendas,Fortaleza,6.4,46,1672.87
508.198.923-32,Group Product Manager,20100.44,41,4.4,Produto,Manaus,2.0,46,3689.02
468.310.648-72,Team Member,5155.97,31,3.3,Vendas,Manaus,7.9,38,996.54
942.755.349-46,Tech Lead,19256.77,22,13.4,Produto,Rio de Janeiro,9.2,39,2959.62
374.472.230-66,Team Member,9143.52,31,1.3,TI,São Paulo,7.0,48,591.7
604.553.677-31,Group Product Manager,32946.18,45,9.8,TI,Fortaleza,2.5,49,4573.59
832.712.555-96,Team Member,11558.49,24,6.9,Vendas,Curitiba,6.1,36,889.26
201.748.557-41,Tech Lead,17567.7,58,7.0,Marketing,São Paulo,1.4,50,3191.61
770.567.329-66,Tech Lead,20474.8,52,2.2,Produto,Curitiba,3.9,43,4010.97
637.535.958-80,Tech Lead,21103.35,27,6.4,Marketing,Salvador,8.9,47,2498.95
803.497.937-31,Team Member,8639.15,33,5.3,Produto,Manaus,1.7,30,1139.15
493.114.316-77,Group Product Manager,25838.05,59,1.2,TI,Manaus,9.8,50,1571.37
106.611.609-15,Product Manager,15774.59,26,1.4,TI,Salvador,1.0,39,1509.29
522.939.732-79,Tech Lead,18243.79,34,1.0,Produto,São Paulo,6.2,50,3166.19
146.189.306-13,Group Product Manager,29252.33,42,10.6,Marketing,Salvador,2.2,34,4970.36
968.148.427-34,Team Member,6154.76,54,7.1,Marketing,Manaus,4.4,31,843.13
610.899.816-30,Product Manager,16992.35,53,4.9,Produto,Salvador,9.6,33,2432.54
169.895.967-59,Group Product Manager,24513.51,23,8.6,TI,Rio de Janeiro,3.6,49,1953.19
217.351.278-21,Team Member,5343.31,25,11.1,Produto,Porto Alegre,2.2,32,404.6
979.191.627-78,Group Product Manager,32898.42,31,5.0,TI,Rio de Janeiro,6.9,37,5554.2
896.797.337-36,Product Manager,15599.15,39,11.9,Produto,São Paulo,2.9,41,1459.11
911.965.970-25,Group Product Manager,24283.54,50,2.1,Produto,Brasília,3.4,36,1925.13
225.870.227-31,Group Product Manager,20439.44,32,9.7,Marketing,Manaus,9.7,46,1343.89
840.192.200-16,Group Product Manager,33882.77,45,7.0,Vendas,Brasília,6.9,30,2265.83
680.760.786-24,Product Manager,19721.53,29,12.3,Marketing,Recife,8.7,33,1203.15
359.731.351-64,Team Member,9049.94,43,0.7,Vendas,Porto Alegre,2.7,30,1465.32
736.319.642-57,Team Member,9271.11,49,10.0,Vendas,Curitiba,6.1,35,1250.0
850.309.948-30,Group Product Manager,23328.29,50,5.7,TI,São Paulo,7.1,49,4478.43
554.186.801-41,Group Product Manager,29733.24,23,3.1,Produto,Manaus,2.2,46,3642.03
921.978.975-95,Group Product Manager,26268.49,47,2.9,Vendas,Curitiba,1.9,32,3604.67
530.905.536-42,Team Member,7911.56,48,5.6,TI,Fortaleza,8.0,35,1389.32
535.150.784-55,Team Member,7619.73,33,9.6,TI,Brasília,7.1,32,1359.49
612.540.580-66,Tech Lead,16853.59,38,7.5,TI,Porto Alegre,9.4,37,1002.94
525.191.163-77,Tech Lead,20616.9,48,5.7,TI,Porto Alegre,8.6,33,3910.85
599.468.567-62,Product Manager,15287.78,30,8.9,Produto,Salvador,1.2,42,1043.97
873.448.589-78,Team Member,5826.64,33,4.1,Marketing,Recife,8.7,41,1144.15
879.614.270-12,Tech Lead,24290.77,29,6.2,Produto,Brasília,5.4,37,2837.05
432.368.857-83,Tech Lead,18718.29,59,5.9,Produto,Salvador,7.4,44,2123.05
415.215.279-44,Product Manager,16438.96,49,5.1,Produto,São Paulo,6.9,49,2424.98
817.505.315-25,Tech Lead,17091.55,35,4.1,Produto,Fortaleza,3.2,50,2582.2
939.986.989-23,Team Member,8971.58,25,6.6,TI,Manaus,8.1,45,776.55
615.346.213-70,Group Product Manager,27429.75,53,4.8,Vendas,Porto Alegre,3.0,45,4657.43
648.349.599-29,Group Product Manager,27609.85,34,3.3,Vendas,São Paulo,3.4,36,4371.0
491.604.515-11,Product Manager,14738.78,33,10.2,Vendas,Salvador,5.2,47,2473.28
227.927.985-79,Team Member,5066.07,30,5.7,Produto,São Paulo,6.7,50,401.46
657.113.988-42,Tech Lead,24324.56,49,10.5,Produto,Recife,2.7,32,1959.72
901.818.384-59,Team Member,5438.71,45,5.5,Marketing,Salvador,9.0,34,415.47
391.535.550-42,Tech Lead,17792.39,58,5.0,Produto,Belo Horizonte,7.5,47,898.35
428.345.309-81,Group Product Manager,28594.61,34,2.0,Produto,Fortaleza,7.3,50,2133.17
931.249.784-71,Team Member,8372.62,51,4.7,TI,Brasília,3.9,42,1563.77
916.365.322-10,Team Member,7053.77,51,4.9,Vendas,Rio de Janeiro,8.0,31,664.4
487.487.962-77,Tech Lead,20908.89,37,10.3,TI,Curitiba,5.4,41,3294.39
960.512.395-58,Team Member,11114.16,43,1.5,Vendas,Salvador,4.6,34,1931.47
968.514.113-22,Team Member,10216.69,29,13.7,TI,Recife,5.6,33,1482.26
505.104.320-44,Group Product Manager,34123.62,45,6.5,Produto,Brasília,9.1,30,3264.25
700.502.350-85,Product Manager,17032.34,60,10.0,Marketing,Belo Horizonte,5.0,50,1958.06
390.131.481-43,Team Member,7198.46,22,8.1,Marketing,Rio de Janeiro,3.3,46,1341.99
696.814.565-47,Group Product Manager,30123.88,44,0.9,Marketing,Brasília,4.4,50,3232.46
195.783.404-53,Group Product Manager,21538.37,55,11.7,Marketing,Curitiba,8.1,40,2785.97
576.996.816-62,Team Member,6339.97,43,1.5,Marketing,Belo Horizonte,2.6,39,659.3
120.674.839-93,Group Product Manager,21394.53,46,7.4,TI,Recife,2.2,42,3788.24
870.459.575-54,Product Manager,13564.82,22,1.7,Marketing,Porto Alegre,1.0,42,2487.5
793.610.593-12,Product Manager,19503.76,45,12.6,TI,Curitiba,5.9,33,3373.63
538.981.337-39,Tech Lead,17294.35,34,7.7,Produto,Curitiba,4.9,47,1365.87
789.597.854-32,Group Product Manager,33009.97,35,9.7,TI,Curitiba,3.8,34,5299.93
503.784.178-14,Product Manager,15439.64,43,11.0,TI,Brasília,9.0,47,1615.19
149.741.191-14,Team Member,11280.29,29,5.5,TI,Manaus,8.4,36,657.99
298.978.446-65,Team Member,9909.54,23,3.9,Produto,Brasília,3.3,33,708.05
977.109.749-24,Group Product Manager,27548.77,48,3.8,Produto,Manaus,9.7,50,4280.0
611.843.172-81,Tech Lead,18598.96,53,1.2,Marketing,Salvador,3.8,37,1038.55
893.741.543-64,Product Manager,14402.95,45,9.4,Vendas,Salvador,8.7,41,2464.5
527.306.990-92,Team Member,8568.24,48,11.4,Produto,Recife,8.4,48,965.54
633.644.748-20,Team Member,9966.37,55,1.6,Produto,Rio de Janeiro,1.5,33,1932.66
803.851.867-37,Tech Lead,24044.26,38,14.7,TI,Curitiba,3.4,36,4614.24
692.529.439-24,Tech Lead,18078.95,28,13.0,TI,Salvador,2.4,30,2014.13
531.190.248-58,Team Member,5528.96,53,5.4,Produto,Fortaleza,1.2,40,1013.85
129.867.737-64,Tech Lead,15961.01,28,4.0,Marketing,Manaus,1.9,40,1720.79
392.983.966-99,Group Product Manager,29640.12,47,14.1,Vendas,Curitiba,6.6,41,2048.33
354.349.828-22,Product Manager,18210.46,45,4.8,Marketing,Manaus,8.6,30,1453.73
470.708.639-38,Tech Lead,22341.71,60,1.0,Vendas,Belo Horizonte,6.8,32,3118.47
481.265.807-11,Team Member,8181.04,44,4.1,Marketing,Curitiba,6.9,47,613.21
676.716.365-91,Product Manager,18229.77,58,4.5,Vendas,Manaus,3.7,45,2304.83
445.463.168-66,Team Member,7997.52,47,14.0,Marketing,Rio de Janeiro,5.0,36,875.53
712.652.211-45,Tech Lead,20862.13,60,6.9,Vendas,Manaus,3.7,32,2733.02
919.983.262-10,Tech Lead,17980.9,29,6.8,Marketing,Porto Alegre,4.1,31,1649.63
144.614.514-94,Team Member,6100.03,27,6.1,Vendas,Brasília,9.0,37,367.17
212.243.171-66,Team Member,7439.96,45,6.5,Vendas,São Paulo,1.1,45,457.71
874.893.234-18,Product Manager,18360.77,52,11.7,Marketing,São Paulo,1.8,38,1969.44
878.343.191-54,Product Manager,18061.52,34,5.5,Produto,Recife,4.6,41,1703.43
783.939.996-16,Group Product Manager,29795.34,50,6.2,Vendas,Curitiba,5.6,40,5662.24
207.379.744-61,Team Member,6110.04,56,2.8,Produto,Porto Alegre,6.2,31,567.07
633.970.253-35,Tech Lead,19812.45,49,3.9,TI,Manaus,5.0,30,3067.56
646.965.109-78,Team Member,5712.42,55,9.6,Produto,Rio de Janeiro,6.3,36,897.44
533.875.502-46,Product Manager,16111.68,44,4.1,Vendas,Salvador,6.6,50,1964.8
739.361.264-93,Team Member,8762.26,46,12.3,TI,Belo Horizonte,6.6,35,982.92
459.253.510-33,Team Member,9289.28,36,3.7,TI,Rio de Janeiro,4.9,46,797.92
888.823.458-57,Group Product Manager,29528.89,46,2.1,Produto,Recife,4.9,50,5531.72
720.385.244-94,Group Product Manager,20644.64,48,10.5,TI,Recife,6.5,48,2655.92
824.501.431-32,Team Member,8851.4,49,14.7,Marketing,Rio de Janeiro,4.5,42,1344.3
838.427.633-36,Product Manager,19903.09,44,4.7,TI,Belo Horizonte,9.7,35,1564.77
950.971.410-86,Product Manager,16626.48,49,13.5,Marketing,Salvador,3.4,45,1761.98
843.768.864-83,Product Manager,15897.6,36,14.9,Produto,Brasília,8.9,47,1737.23
667.245.637-76,Group Product Manager,28113.44,30,9.0,Produto,Rio de Janeiro,1.8,30,1490.46
897.231.224-84,Product Manager,13630.78,24,3.4,TI,Brasília,5.3,40,1948.54
609.759.253-99,Product Manager,12679.79,26,2.1,TI,Porto Alegre,10.0,40,2218.56
366.823.311-68,Team Member,7374.88,52,10.7,Produto,Belo Horizonte,9.1,33,1099.45
788.563.406-38,Tech Lead,17562.77,58,9.3,Marketing,Recife,2.1,38,2944.03
463.106.756-57,Tech Lead,16487.26,37,2.8,TI,Porto Alegre,4.8,32,1488.75
700.217.288-52,Tech Lead,17400.07,44,14.7,Produto,Recife,1.7,30,2870.53
926.867.434-97,Group Product Manager,24953.14,31,1.8,Marketing,Rio de Janeiro,2.0,41,4786.14
750.611.891-66,Product Manager,19510.77,30,10.1,Produto,Manaus,5.9,38,2848.81
200.584.572-48,Product Manager,19847.94,33,3.3,TI,Curitiba,1.4,50,2774.0
971.550.575-24,Tech Lead,24365.42,32,8.4,TI,Brasília,5.5,32,4225.91
190.527.725-39,Tech Lead,17063.01,23,10.1,Produto,Fortaleza,2.4,36,3128.8
304.820.924-95,Team Member,5279.59,60,0.7,Produto,Manaus,1.0,30,687.63
622.140.987-10,Tech Lead,21170.1,39,14.0,Vendas,Belo Horizonte,3.1,38,2127.15
211.432.646-55,Tech Lead,15789.8,24,3.0,Marketing,Manaus,5.2,34,1012.17
931.461.643-72,Group Product Manager,25633.91,30,1.2,Marketing,Curitiba,1.9,44,2856.75
713.632.209-10,Tech Lead,20528.33,56,7.9,Produto,Rio de Janeiro,8.2,46,2600.37
979.953.168-29,Product Manager,15059.1,44,2.3,TI,Salvador,1.8,34,1260.22
907.496.416-89,Group Product Manager,29701.03,41,5.4,Produto,Curitiba,6.6,41,2382.06
713.248.996-93,Product Manager,16877.09,44,0.7,Vendas,Curitiba,2.4,47,1420.87
160.348.301-61,Tech Lead,19978.41,26,12.9,Marketing,Porto Alegre,4.7,34,1242.8
952.756.442-57,Team Member,7788.03,36,12.2,Marketing,Rio de Janeiro,5.0,45,517.64
297.116.913-67,Tech Lead,21241.08,56,13.1,Marketing,Porto Alegre,9.8,50,4223.07
729.981.542-73,Group Product Manager,26698.21,45,1.1,Marketing,Brasília,2.4,30,3065.78
609.283.955-74,Team Member,7460.61,32,12.7,Marketing,Salvador,9.7,43,1415.36
630.147.761-52,Group Product Manager,30057.77,44,7.0,TI,Brasília,8.9,43,3142.74
550.288.946-57,Team Member,10530.01,56,1.3,Marketing,Fortaleza,8.3,38,2090.17
626.360.261-36,Product Manager,15203.23,26,5.9,Marketing,Fortaleza,4.0,48,2843.1
576.638.262-83,Tech Lead,21500.58,46,15.0,TI,Salvador,5.5,30,1129.23
317.442.139-28,Product Manager,19451.82,32,2.9,Marketing,Brasília,6.4,49,3394.76
332.681.753-41,Product Manager,17623.32,38,7.4,Produto,São Paulo,4.4,50,2330.44
265.289.825-48,Tech Lead,18070.48,33,8.6,Marketing,Curitiba,3.9,43,2851.54
437.816.839-38,Product Manager,15761.27,24,5.0,Marketing,Porto Alegre,2.5,34,1606.47
531.402.127-22,Team Member,11011.2,47,10.4,TI,Manaus,9.2,47,1219.58
608.355.470-37,Team Member,9296.75,60,10.9,Vendas,São Paulo,7.2,32,756.8
651.924.332-97,Product Manager,15277.66,53,1.7,Marketing,Fortaleza,6.3,38,1061.55
715.916.932-95,Group Product Manager,34942.42,53,10.9,Marketing,Brasília,8.4,30,4065.12
645.752.126-20,Team Member,10370.2,39,7.4,Vendas,Rio de Janeiro,7.6,35,735.63
148.755.683-20,Group Product Manager,21605.87,50,3.6,Produto,Belo Horizonte,9.3,50,2087.82
119.318.478-13,Product Manager,15654.66,48,8.4,TI,Recife,2.6,31,794.7
322.343.715-98,Tech Lead,20936.04,40,13.5,TI,Curitiba,6.7,41,1273.84
619.333.298-63,Group Product Manager,26748.16,26,14.9,Produto,Curitiba,5.6,48,3922.52
164.693.642-77,Product Manager,12384.38,24,14.1,TI,Curitiba,1.9,49,1658.31
612.771.226-46,Group Product Manager,28586.65,41,6.7,Produto,Porto Alegre,5.8,43,5533.44
134.232.231-93,Tech Lead,15802.99,48,9.1,Produto,Manaus,5.4,31,2411.99
351.189.732-62,Product Manager,17925.07,49,11.3,Vendas,Fortaleza,1.8,43,2926.45
303.298.873-54,Group Product Manager,30898.08,36,14.2,Marketing,Manaus,5.2,47,2652.66
845.644.451-61,Product Manager,19985.07,48,5.6,Marketing,Belo Horizonte,5.1,43,1570.04
284.696.118-83,Tech Lead,21570.87,35,0.9,Marketing,Rio de Janeiro,6.7,49,2363.0
204.708.737-26,Team Member,8735.84,56,10.0,Produto,Salvador,8.5,37,1128.4
962.903.406-86,Product Manager,17849.32,48,1.8,TI,Manaus,6.5,41,2810.39
334.434.867-75,Tech Lead,23642.59,37,0.8,Marketing,São Paulo,3.6,39,4271.93
532.216.841-44,Tech Lead,18187.08,57,8.8,Marketing,Rio de Janeiro,1.5,43,2404.19
527.893.755-46,Product Manager,12184.89,24,8.3,Vendas,Curitiba,8.8,50,1394.36
435.514.422-40,Group Product Manager,32466.06,27,13.2,Produto,Fortaleza,9.8,33,5484.6
177.550.799-83,Group Product Manager,28602.73,45,13.9,Marketing,Manaus,2.7,30,5279.42
479.961.238-41,Team Member,10805.17,60,14.6,Marketing,Brasília,5.6,37,2071.2
933.236.302-75,Team Member,5362.67,52,12.2,Marketing,Brasília,3.9,39,669.07
246.392.411-54,Group Product Manager,21026.22,58,7.1,Vendas,São Paulo,2.6,44,3636.54
210.768.558-59,Group Product Manager,22595.01,60,6.8,Vendas,Fortaleza,2.7,31,4095.06
393.254.446-39,Product Manager,19550.01,52,3.7,Vendas,Salvador,1.6,47,1167.49
190.292.219-86,Group Product Manager,25460.92,24,14.8,Vendas,Belo Horizonte,6.6,48,4597.57
804.538.533-16,Group Product Manager,30561.36,26,1.8,TI,Curitiba,7.8,49,4834.47
733.342.338-17,Group Product Manager,21207.24,26,11.7,Produto,Porto Alegre,1.1,37,3168.4
516.658.883-56,Product Manager,12498.01,40,12.1,Vendas,São Paulo,5.7,45,2346.0
231.624.147-23,Tech Lead,18299.08,56,14.5,Vendas,Curitiba,9.5,33,2880.57
906.966.654-46,Tech Lead,21978.06,56,10.2,TI,Salvador,8.5,50,2060.25
383.255.503-96,Team Member,9157.01,51,1.1,Produto,Salvador,1.8,39,1287.59
435.504.233-77,Tech Lead,24048.42,40,6.0,Vendas,Fortaleza,8.7,42,4808.48
647.989.493-15,Tech Lead,18597.19,32,1.0,Marketing,Salvador,4.6,43,1723.66
654.104.813-24,Group Product Manager,25847.75,59,2.9,TI,Manaus,3.2,32,2422.46
384.971.576-70,Group Product Manager,29030.83,44,2.5,TI,Brasília,3.9,39,3995.38
170.435.667-45,Tech Lead,18711.5,50,0.7,Vendas,Fortaleza,3.6,49,2422.15
408.558.712-80,Tech Lead,23027.87,53,11.9,Marketing,Porto Alegre,3.9,43,2205.56
680.878.152-24,Team Member,6704.11,27,7.4,Vendas,Fortaleza,8.2,30,336.35
575.415.816-90,Tech Lead,15644.85,41,13.2,Produto,Brasília,8.6,33,1179.63
812.278.140-91,Team Member,7187.12,23,12.2,Produto,Fortaleza,6.7,48,792.93
458.610.879-79,Team Member,7604.85,59,14.5,Marketing,São Paulo,9.2,44,1321.05
840.458.393-22,Tech Lead,19865.3,22,8.7,Produto,Brasília,3.3,32,3173.88
814.595.409-56,Team Member,7026.94,28,8.1,Marketing,São Paulo,3.1,30,1056.52
521.344.718-86,Tech Lead,16900.2,22,12.2,TI,Manaus,9.6,48,1619.7
133.186.319-99,Product Manager,14121.79,39,0.6,Marketing,Rio de Janeiro,5.1,45,775.72
483.789.836-43,Product Manager,18495.61,35,7.9,Marketing,Belo Horizonte,1.8,43,2123.07
352.617.890-19,Group Product Manager,34390.86,31,13.1,Produto,Brasília,5.0,33,5672.65
518.803.915-21,Group Product Manager,31513.94,32,13.3,TI,Belo Horizonte,5.0,47,4220.03
646.482.768-84,Team Member,6066.34,44,14.9,Marketing,Fortaleza,8.2,40,624.67
308.299.358-33,Product Manager,13382.22,52,9.5,Vendas,Manaus,9.9,41,1261.31
286.828.333-88,Group Product Manager,32193.17,53,10.3,Produto,Belo Horizonte,4.8,47,4134.44
759.574.392-76,Product Manager,17344.41,47,3.1,Vendas,Brasília,5.0,33,2905.81
172.262.784-75,Tech Lead,20981.73,34,7.9,Marketing,Fortaleza,4.2,39,4032.95
814.313.472-49,Group Product Manager,23027.76,43,13.7,Vendas,Recife,8.7,40,2259.73
804.580.836-76,Team Member,10129.48,40,10.1,Marketing,Porto Alegre,3.3,43,1734.48
259.382.979-10,Group Product Manager,31813.34,53,14.3,Produto,Recife,2.0,46,3701.66
597.249.486-16,Tech Lead,24155.23,43,14.1,Vendas,Manaus,1.0,40,1737.24
534.990.941-82,Team Member,6335.78,32,8.6,Marketing,Porto Alegre,7.0,49,636.26
549.551.228-12,Team Member,8973.34,57,7.2,Marketing,Belo Horizonte,1.9,39,595.32
187.936.366-69,Product Manager,13431.64,34,7.5,Vendas,Manaus,6.1,50,2479.8
799.259.550-12,Team Member,5388.13,40,7.6,TI,Porto Alegre,9.5,37,734.7
179.514.867-38,Group Product Manager,22705.67,33,5.9,Marketing,São Paulo,9.1,43,1801.9
434.967.228-63,Team Member,10737.12,51,3.9,Produto,Salvador,4.4,45,1193.63
581.327.848-52,Product Manager,14978.71,55,3.2,Produto,Manaus,6.3,42,2893.99
230.270.730-65,Tech Lead,19548.08,49,2.2,TI,Fortaleza,9.5,35,1464.23
989.494.271-51,Team Member,5755.19,28,11.0,Vendas,São Paulo,8.3,35,750.59
580.401.406-53,Product Manager,17611.91,35,13.4,Produto,Porto Alegre,3.8,30,1677.92
635.976.384-40,Team Member,6874.8,54,1.8,Marketing,Salvador,1.7,33,435.77
407.471.941-90,Group Product Manager,23815.3,23,13.5,Produto,Brasília,9.3,33,4300.11
321.285.865-22,Tech Lead,22869.1,32,3.2,Marketing,Rio de Janeiro,6.2,35,1565.66
421.619.474-33,Team Member,5685.07,59,11.6,Produto,Belo Horizonte,1.5,47,1060.38
250.157.526-43,Team Member,11501.61,24,0.6,Marketing,Belo Horizonte,2.9,30,2039.17
352.146.402-33,Group Product Manager,31595.57,29,12.0,TI,Porto Alegre,1.9,42,3115.42
511.659.911-40,Tech Lead,16693.12,43,5.8,TI,Salvador,5.6,35,2629.98
179.241.842-14,Team Member,8834.94,24,8.9,TI,Recife,3.5,30,566.92
495.519.765-55,Product Manager,12184.32,33,3.6,TI,Manaus,2.7,44,612.49
849.511.642-73,Group Product Manager,29462.02,56,12.6,Marketing,Manaus,6.4,33,3328.52
532.142.715-53,Group Product Manager,20321.6,57,5.3,Vendas,Belo Horizonte,8.9,31,1419.8
254.439.730-53,Product Manager,13749.85,32,7.2,TI,Recife,1.7,30,752.61
369.467.808-13,Product Manager,12931.48,60,8.8,Marketing,Manaus,3.8,46,2375.76
157.393.337-50,Group Product Manager,32779.6,40,12.3,Vendas,Fortaleza,8.3,41,2412.89
593.900.291-32,Team Member,5063.86,44,9.3,TI,Porto Alegre,3.2,47,800.04
659.752.216-65,Group Product Manager,20071.26,48,2.0,TI,Fortaleza,8.9,36,3499.65
223.757.535-64,Team Member,7717.54,51,10.8,Marketing,Brasília,3.3,37,1342.02
625.537.177-64,Tech Lead,24112.99,49,2.9,Marketing,Fortaleza,9.4,40,4313.61
499.319.228-31,Product Manager,16632.09,30,8.8,Marketing,Brasília,8.6,32,3125.3
977.422.311-32,Tech Lead,15864.99,52,11.9,Vendas,Brasília,3.1,43,1844.95
744.971.207-56,Product Manager,19829.12,52,14.7,Vendas,São Paulo,9.6,49,2047.17
650.348.190-91,Team Member,7679.25,47,7.8,TI,Brasília,3.3,47,854.46
492.404.816-33,Team Member,5307.31,35,10.6,Marketing,Rio de Janeiro,6.7,50,385.69
589.387.715-92,Product Manager,13401.3,55,11.3,TI,São Paulo,2.6,32,2491.04
829.869.479-85,Group Product Manager,23690.54,31,14.3,Vendas,Curitiba,9.0,43,2372.22
653.249.797-19,Product Manager,16567.57,38,7.2,Vendas,Manaus,6.9,39,1783.3
805.725.624-31,Team Member,11005.65,55,4.8,Produto,Porto Alegre,7.2,36,1948.3
636.286.230-47,Tech Lead,20313.12,22,3.5,TI,Manaus,2.6,43,3810.3
411.479.398-78,Group Product Manager,28573.04,52,8.6,Marketing,Fortaleza,7.7,31,3387.46
546.326.528-46,Team Member,9647.4,54,0.6,Produto,Manaus,5.3,34,700.74
587.901.497-13,Group Product Manager,25577.36,38,10.8,TI,Salvador,5.7,42,3202.23
702.392.630-16,Product Manager,13729.91,49,14.1,Vendas,Rio de Janeiro,8.1,50,1382.2
579.828.204-78,Team Member,8629.53,26,7.0,TI,Manaus,1.9,31,1166.68
566.406.495-11,Product Manager,17905.06,43,5.8,Marketing,Curitiba,4.6,30,2422.69
513.960.402-20,Team Member,8366.04,60,6.4,Produto,Porto Alegre,5.1,44,791.1
509.995.797-87,Tech Lead,21205.1,42,10.7,Vendas,Manaus,5.0,32,3853.71
800.238.921-88,Team Member,6493.21,50,5.8,TI,Brasília,3.4,41,1052.93
603.910.973-36,Tech Lead,17342.74,33,2.4,Marketing,Fortaleza,5.4,43,1092.44
862.259.190-45,Tech Lead,21366.58,27,11.2,Marketing,Manaus,6.3,35,2120.07
550.333.522-77,Group Product Manager,20029.97,42,8.9,Marketing,Curitiba,3.0,38,2895.98
815.989.480-67,Group Product Manager,28802.95,43,13.4,Produto,Rio de Janeiro,2.8,42,4969.29
845.426.381-88,Group Product Manager,22054.28,59,5.8,Vendas,Porto Alegre,6.1,34,3326.41
468.655.895-26,Tech Lead,24275.86,49,0.9,Marketing,Recife,7.9,33,4816.98
277.338.109-32,Team Member,5071.38,45,6.7,TI,Belo Horizonte,9.1,30,563.48
729.846.724-83,Tech Lead,16099.23,46,10.2,TI,Salvador,3.4,44,1284.58
